Year,DayIntoYear,Date & Time
1917,120.4795,April 30 at 11:30 
1918,131.3983,May 11 at 9:33 
1919,123.6066,May 3 at 14:33 
1920,132.449,May 11 at 10:46 
1921,131.2795,May 11 at 6:42 
1922,132.5559,May 12 at 13:20
1923,129.0837,May 9 at 2:00 
1924,132.6323,May 11 at 15:10
1925,127.7726,May 7 at 18:32
1926,116.6691,April 26 at 16:03
1927,133.2378,May 13 at 5:42 
1928,127.6844,May 6 at 16:25
1929,125.6538,May 5 at 15:41
1930,128.7941,May 8 at 19:03
1931,130.3913,May 10 at 9:23 
1932,122.4274,May 1 at 10:15 
1933,128.8128,May 8 at 19:30
1934,120.5885,April 30 at 14:07
1935,135.5642,May 15 at 13:32
1936,121.5406,April 30 at 12:58
1937,132.8365,May 12 at 20:04
1938,126.8434,May 6 at 20:14 
1939,119.5601,April 29 at 13:26 
1940,111.6441,April 20 at 15:27
1941,123.0767,May 3 at 1:50 
1942,120.5615,April 30 at 13:28
1943,118.8073,April 28 at 19:22
1944,125.5892,May 4 at 14:08 
1945,136.4038,May 16 at 9:41 
1946,125.6948,May 5 at 16:40
1947,123.7455,May 3 at 17:53 
1948,134.4677,May 13 at 11:13 
1949,134.5274,May 14 at 12:39
1950,126.6767,May 6 at 16:14 
1951,120.7462,April 30 at 17:54 
1952,133.7115,May 12 at 17:04 
1953,119.6628,April 29 at 15:54
1954,126.751,May 6 at 18:01
1955,129.5927,May 9 at 14:13
1956,122.9753,May 1 at 23:24
1957,125.3962,May 5 at 9:30 
1958,119.6226,April 29 at 14:56
1959,128.4767,May 8 at 11:26 
1960,123.8003,May 2 at 19:12
1961,125.4802,May 5 at 11:31 
1962,132.9747,May 12 at 23:23
1963,125.7677,May 5 at 18:25 
1964,141.4872,May 20 at 11:41 
1965,127.7927,May 7 at 19:01
1966,128.508,May 8 at 12:11 
1967,124.4969,May 4 at 11:55 
1968,129.3934,May 8 at 9:26 
1969,118.5198,April 28 at 12:28 
1970,124.4427,May 4 at 10:37 
1971,128.8969,May 8 at 21:31 
1972,131.4976,May 10 at 11:56 
1973,124.4997,May 4 at 11:59 
1974,126.6559,May 6 at 15:44
1975,130.576,May 10 at 13:49
1976,123.4524,May 2 at 10:51 
1977,126.5323,May 6 at 12:46
1978,120.6378,April 30 at 15:18
1979,120.7615,April 30 at 18:16 
1980,120.5531,April 29 at 13:16
1981,120.7809,April 30 at 18:44 
1982,130.7337,May 10 at 17:36 
1983,119.776,April 29 at 18:37 
1984,130.6483,May 9 at 15:33
1985,131.6087,May 11 at 14:36
1986,128.9517,May 8 at 22:50 
1987,125.633,May 5 at 15:11
1988,118.3858,April 27 at 9:15 
1989,121.8434,May 1 at 20:14 
1990,114.7219,April 24 at 17:19
1991,121.0031,May 1 at 12:04 
1992,135.2684,May 14 at 6:26 
1993,113.5427,April 23 at 13:01
1994,119.9594,April 29 at 23:01
1995,116.5573,April 26 at 13:22
1996,126.5226,May 5 at 12:32 
1997,120.4365,April 30 at 10:28 
1998,110.7045,April 20 at 16:54 
1999,119.908,April 29 at 21:47
2000,122.4497,May 1 at 10:47 
2001,128.542,May 8 at 13:00
2002,127.8941,May 7 at 21:27 
2003,119.7656,April 29 at 18:22
2004,115.5944,April 24 at 14:16
2005,118.5007,April 28 at 12:01
2006,122.7285,May 2 at 17:29
2007,117.616,April 27 at 14:47
2008,126.9535,May 5 at 22:53
2009,121.8618,May 1 at 20:41
2010,119.3792,April 29 at 9:06
2011,124.6833,May 4 at 16:24
2012,114.8187,Apr 23 at 19:39
2013,140.6118,May 20 at 14:41
2014,115.6583,Apr 25 at 15:48
2015,114.6001,Apr 24 at 14:25
2016,114.652, Apr 23 at 15:39
2017,121.5,May 01 at 12:00 (noon)
2018,121.5541,May 01 at 13:18